Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
101,1263.711999999998,5.0508073541166985,1563.0,360.0,1.0071651467998848,0.0005381265731413,0.0005419823290348,50000,10000000.0,1,72,12.512
102,1276.223999999998,5.100815347721814,1563.0,329.0,1.0090978034166311,0.0005342764868518,0.0005391372292993,50000,10000000.0,1,72,12.512
103,1288.7359999999978,5.15082334132693,1563.0,365.0,1.0083896031578858,0.0005627103122503,0.0005674312284629,50000,10000000.0,1,72,12.512
104,1301.2479999999978,5.200831334932046,1563.0,380.0,1.0095970468567836,0.0005681843517163,0.000573637243563,50000,10000000.0,1,72,12.512
105,1313.7599999999975,5.250839328537161,1563.0,378.0,1.010697355194307,0.0005370764592241,0.0005428217568749,50000,10000000.0,1,72,12.512
106,1326.2719999999977,5.300847322142277,1563.0,339.0,1.009996065323674,0.0005463265582836,0.0005517876742483,50000,10000000.0,1,72,12.512
107,1338.7839999999976,5.350855315747393,1563.0,396.0,1.010645439724518,0.0005491414469859,0.00055498729916,50000,10000000.0,1,72,12.512
108,1351.2959999999975,5.400863309352508,1563.0,389.0,1.0118390788361582,0.0005789722151361,0.0005858267128351,50000,10000000.0,1,72,12.512
109,1363.8079999999975,5.450871302957625,1563.0,362.0,1.0141037779810178,0.0005563568677813,0.0005642036015227,50000,10000000.0,1,72,12.512
110,1376.3199999999977,5.50087929656274,1563.0,371.0,1.0138766436326112,0.000582571207314,0.0005906553403485,50000,10000000.0,1,72,12.512
111,1388.8319999999976,5.550887290167856,1563.0,358.0,1.0135429119324382,0.0005401289719852,0.000547443891085,50000,10000000.0,1,72,12.512
112,1401.3439999999975,5.600895283772972,1563.0,366.0,1.0159834320907408,0.0005763086881788,0.0005855200789596,50000,10000000.0,1,72,12.512
113,1413.8559999999975,5.650903277378087,1562.0,352.0,1.0160161684890752,0.0005457019649157,0.0005544420195306,50000,10000000.0,1,72,12.512
114,1426.3679999999974,5.700911270983204,1563.0,376.0,1.0152914783895295,0.000581791921848,0.0005906883804481,50000,10000000.0,1,72,12.512
115,1438.8799999999974,5.750919264588319,1563.0,354.0,1.017384705516586,0.0005172605314285,0.0005262529534427,50000,10000000.0,1,72,12.512
116,1451.391999999997,5.800927258193434,1563.0,368.0,1.0172610737820762,0.000547344039535,0.0005567917853856,50000,10000000.0,1,72,12.512
117,1463.9039999999973,5.850935251798551,1563.0,353.0,1.0186608111269893,0.0005648398898483,0.0005753802603498,50000,10000000.0,1,72,12.512
118,1476.4159999999972,5.900943245403666,1563.0,321.0,1.0188351530887811,0.0005176443525538,0.0005273942631797,50000,10000000.0,1,72,12.512
119,1488.9279999999974,5.950951239008782,1563.0,357.0,1.0182624674515095,0.0005453289378722,0.0005552879898505,50000,10000000.0,1,72,12.512
120,1501.439999999997,6.000959232613898,1563.0,329.0,1.0184861035455044,0.0005360353861853,0.0005459445918384,50000,10000000.0,1,72,12.512
121,1513.9519999999973,6.050967226219013,1563.0,331.0,1.0190493279999833,0.0005721592987186,0.0005830585488681,50000,10000000.0,1,72,12.512
122,1526.4639999999972,6.10097521982413,1563.0,318.0,1.019556326681364,0.0005683386951929,0.0005794533123817,50000,10000000.0,1,72,12.512
123,1538.9759999999972,6.150983213429245,1563.0,348.0,1.0189629486115306,0.000574447019111,0.0005853402284145,50000,10000000.0,1,72,12.512
124,1551.487999999997,6.200991207034361,1563.0,325.0,1.0197730531565008,0.0006026681250015,0.0006145847138729,50000,10000000.0,1,72,12.512
125,1563.9999999999973,6.250999200639478,1563.0,336.0,1.0182760822201098,0.0005380139838041,0.0005478467716077,50000,10000000.0,1,72,12.512
126,1576.5119999999974,6.301007194244594,1563.0,305.0,1.0199860795860298,0.000555451459977,0.0005665527570623,50000,10000000.0,1,72,12.512
127,1589.0239999999976,6.35101518784971,1563.0,325.0,1.0208622124876252,0.0005534407158627,0.0005649867136763,50000,10000000.0,1,72,12.512
128,1601.5359999999976,6.401023181454827,1563.0,301.0,1.0190651905732842,0.0005408407734243,0.0005511520058395,50000,10000000.0,1,72,12.512
129,1614.0479999999975,6.451031175059943,1563.0,304.0,1.0193778422444744,0.0005811255498388,0.0005923865090678,50000,10000000.0,1,72,12.512
130,1626.559999999998,6.501039168665059,1563.0,307.0,1.018831462694594,0.000564433663784,0.0005750627752671,50000,10000000.0,1,72,12.512
131,1639.071999999998,6.5510471622701765,1563.0,269.0,1.01863680880013,0.0005667194041735,0.0005772812453524,50000,10000000.0,1,72,12.512
132,1651.5839999999982,6.601055155875293,1563.0,295.0,1.0203621566937011,0.0005556532022921,0.0005669674998645,50000,10000000.0,1,72,12.512
133,1664.0959999999984,6.651063149480409,1563.0,292.0,1.019618619605934,0.0005655309627033,0.0005766258995359,50000,10000000.0,1,72,12.512
134,1676.6079999999986,6.701071143085525,1563.0,257.0,1.0184332981145494,0.0005464540943869,0.0005565270456147,50000,10000000.0,1,72,12.512
135,1689.1199999999983,6.751079136690642,1563.0,292.0,1.0186680102945247,0.0005627356373447,0.0005732407920158,50000,10000000.0,1,72,12.512
136,1701.6319999999987,6.801087130295758,1563.0,261.0,1.0174350900290734,0.0005552950529122,0.0005649766721524,50000,10000000.0,1,72,12.512
137,1714.1439999999989,6.851095123900875,1563.0,276.0,1.0171302815114127,0.0005897184352092,0.0005998204780168,50000,10000000.0,1,72,12.512
138,1726.655999999999,6.901103117505992,1563.0,251.0,1.0156788953990448,0.0005424331164847,0.0005509378685791,50000,10000000.0,1,72,12.512
139,1739.1679999999992,6.951111111111108,1563.0,291.0,1.0147492417484798,0.0005223551565344,0.0005300594990167,50000,10000000.0,1,72,12.512
140,1751.6799999999994,7.001119104716224,1563.0,257.0,1.014044455963566,0.0005568191416243,0.0005646393635385,50000,10000000.0,1,72,12.512
141,1764.1919999999996,7.0511270983213405,1563.0,302.0,1.0129295562907492,0.0005815743064674,0.0005890938042001,50000,10000000.0,1,72,12.512
142,1776.7039999999995,7.101135091926457,1563.0,323.0,1.0138751563901298,0.0005425023623817,0.0005500296675018,50000,10000000.0,1,72,12.512
143,1789.2159999999997,7.151143085531574,1563.0,259.0,1.0129973445851277,0.0005501363789645,0.0005572866910507,50000,10000000.0,1,72,12.512
144,1801.728,7.20115107913669,1563.0,300.0,1.0128301779468751,0.0005500844992076,0.0005571421812183,50000,10000000.0,1,72,12.512
145,1814.24,7.251159072741807,1563.0,280.0,1.0129371720636675,0.0005761918007119,0.0005836460931794,50000,10000000.0,1,72,12.512
146,1826.752,7.301167066346923,1563.0,305.0,1.010940546361217,0.0005428948783502,0.0005488344449361,50000,10000000.0,1,72,12.512
147,1839.2640000000004,7.351175059952039,1563.0,281.0,1.0119669287281452,0.0005798077142178,0.0005867462318099,50000,10000000.0,1,72,12.512
148,1851.7760000000003,7.401183053557156,1563.0,271.0,1.0113564456496025,0.000534036401064,0.0005401011564276,50000,10000000.0,1,72,12.512
149,1864.2880000000005,7.451191047162272,1563.0,332.0,1.01010691088738,0.0005849281059356,0.0005908399221778,50000,10000000.0,1,72,12.512
150,1876.8000000000009,7.501199040767389,1563.0,290.0,1.011847408687784,0.000538229809191,0.0005446064377084,50000,10000000.0,1,72,12.512
151,1889.3120000000008,7.5512070343725055,1563.0,296.0,1.0106645963247294,0.0005877177096575,0.0005939854817839,50000,10000000.0,1,72,12.512
152,1901.824000000001,7.601215027977622,1563.0,310.0,1.0100564542346913,0.0005834210175224,0.0005892881642847,50000,10000000.0,1,72,12.512
153,1914.3360000000007,7.651223021582738,1563.0,299.0,1.0095849502508545,0.0005218199355161,0.0005268215536379,50000,10000000.0,1,72,12.512
154,1926.848000000001,7.7012310151878545,1563.0,327.0,1.0093218514979423,0.0005835958370644,0.0005890360307924,50000,10000000.0,1,72,12.512
155,1939.3600000000013,7.751239008792971,1563.0,350.0,1.008726237730517,0.0005345144928883,0.0005391787934237,50000,10000000.0,1,72,12.512
156,1951.8720000000012,7.801247002398088,1563.0,316.0,1.0102049845150554,0.0005689058915573,0.0005747115673712,50000,10000000.0,1,72,12.512
157,1964.3840000000016,7.851254996003204,1563.0,313.0,1.0099774643324235,0.0005741801799878,0.000579909042254,50000,10000000.0,1,72,12.512
158,1976.8960000000015,7.901262989608321,1563.0,349.0,1.0091542479531963,0.0005602483987615,0.0005653770515191,50000,10000000.0,1,72,12.512
159,1989.408000000002,7.951270983213437,1563.0,348.0,1.0097464363790831,0.0005489569155802,0.0005543072892328,50000,10000000.0,1,72,12.512
160,2001.920000000002,8.001278976818554,1563.0,335.0,1.0102499812503047,0.0005593263607988,0.0005650594455098,50000,10000000.0,1,72,12.512
161,2014.4320000000023,8.05128697042367,1563.0,328.0,1.0096567567066097,0.0005843492475572,0.0005899921660726,50000,10000000.0,1,72,12.512
162,2026.9440000000025,8.101294964028787,1563.0,325.0,1.0110492072871695,0.0005675600558508,0.0005738311445558,50000,10000000.0,1,72,12.512
163,2039.4560000000024,8.151302957633902,1563.0,366.0,1.0121132309481005,0.0005511062830331,0.0005577819607164,50000,10000000.0,1,72,12.512
164,2051.9680000000026,8.20131095123902,1563.0,371.0,1.012496646490703,0.0005769598228877,0.0005841698858337,50000,10000000.0,1,72,12.512
165,2064.4800000000027,8.251318944844135,1563.0,359.0,1.0128530177967037,0.0005481963744536,0.0005552423522106,50000,10000000.0,1,72,12.512
166,2076.992000000003,8.301326938449252,1563.0,361.0,1.012977301814184,0.0005506525262983,0.0005577985103268,50000,10000000.0,1,72,12.512
167,2089.504000000003,8.35133493205437,1563.0,387.0,1.013426880415019,0.0005668261241242,0.0005744368307089,50000,10000000.0,1,72,12.512
168,2102.0160000000037,8.401342925659485,1563.0,364.0,1.0151508002505376,0.0005722080227113,0.0005808774321651,50000,10000000.0,1,72,12.512
169,2114.5280000000034,8.451350919264602,1563.0,348.0,1.0153531280080057,0.0005485589469977,0.0005569810427309,50000,10000000.0,1,72,12.512
170,2127.040000000004,8.501358912869717,1563.0,358.0,1.0168034740735972,0.000539005994072,0.0005480631673189,50000,10000000.0,1,72,12.512
