,r,id,dist,initial,passes,residence_time,insertion_step,avg_r_dist,burnup,integrated_flux_pebbles_thermal,integrated_flux_pebbles_thermal_unc,integrated_flux_pebbles_thermal_rel_unc,integrated_flux_pebbles_fast,integrated_flux_pebbles_fast_unc,integrated_flux_pebbles_fast_rel_unc,integrated_power_pebbles,integrated_power_pebbles_unc,integrated_power_pebbles_rel_unc,922350,922380,942390,942410,541350,551370,discard_step
20510,3.0,6205,65.42089858937035,1,1,43.2,0,30.309898929268986,72.55786877720058,5.84499207285304e+19,1.350462181856427e+18,0.023104602453245814,2.6258245425400844e+19,9.043075845215716e+17,0.03443899506121578,1523729881.817732,109945485.72795498,0.07215549622010144,0.003876833917896571,0.019233228509854015,1.115784759103108e-05,6.24052174571462e-10,1.0716499903685634e-09,6.001331371655031e-06,4
20761,3.0,14033,26.769024349346594,1,1,43.2,0,15.619526076697412,72.1729602774739,1.0066889452163444e+20,1.9603987415840594e+18,0.019473728711332537,5.118843812468716e+19,1.4625789514590866e+18,0.028572447315084498,2334918893.8366404,150869318.3074471,0.06461437213330566,0.0038149324276770267,0.019223600789829542,1.9834585774213268e-05,9.518810256326847e-09,1.6153054518848394e-08,9.201343682729564e-06,4
20885,3.0,11978,28.13173770715142,1,1,43.2,0,17.471810178589813,72.6345994869899,7.400617440872948e+19,1.5541449321128579e+18,0.0210002063277782,3.8710595279871164e+19,1.1396804564256539e+18,0.02944104703598469,1783490375.2142508,121526920.08194645,0.06813993603265026,0.0038560375890837753,0.019229680907241146,1.4412967864085408e-05,1.4287532977658332e-09,6.828278138827301e-10,7.029996431468243e-06,4
21110,3.0,13574,26.69120988480973,1,1,43.2,0,16.469665222213187,75.23702516157027,8.950530532002664e+19,1.7756614337284006e+18,0.019838616575626605,4.817413497512717e+19,1.3670572061504594e+18,0.02837741055145642,2013420143.6938725,136855275.11520517,0.06797154361638945,0.0038388778038210714,0.019226506073590655,1.7355500030476906e-05,1.1918970125762526e-08,7.637032935865825e-09,7.93861715444835e-06,4
21533,3.0,13039,36.62609578150145,1,1,43.2,0,24.680050260960634,72.1295063045666,9.124929986751522e+19,1.8633697731746007e+18,0.02042064734611691,4.88624250880045e+19,1.4099749248019935e+18,0.02885601609544623,2062621883.2747712,141042774.34249797,0.06838033450831425,0.0038354514780584697,0.019227491261586297,1.6306473203540706e-05,7.420723674905215e-09,1.0073269295103665e-08,8.131700435313995e-06,4
21638,3.0,6215,64.22938863660424,1,1,43.2,0,30.03604783988134,75.66340195189888,6.106024952943501e+19,1.376424561522127e+18,0.022542072332321552,2.821065022635967e+19,9.631664768626e+17,0.03414194529846851,1557254261.3631413,116734000.07924978,0.07496142600185712,0.003874919673917509,0.019232689832035903,1.1726160311766453e-05,2.147750089689798e-09,2.732016810703414e-09,6.130479816451773e-06,4
21745,3.0,2617,96.30820839397649,1,1,43.2,0,35.7227885689631,77.15104939148364,7.255346572560911e+19,1.654650763704689e+18,0.022805950717260482,2.0965120757552615e+19,8.957861247172975e+17,0.04272744884594063,2016177900.3837636,138210191.98120493,0.06855059365292007,0.003840352284669594,0.01923543462792251,8.878804329351816e-06,7.757264326113463e-10,7.716160583247598e-09,7.948930727716606e-06,4
22731,3.0,13472,22.243093419791624,1,1,43.2,0,14.365841839812441,72.38509765523145,8.847266419277939e+19,1.7976001731818235e+18,0.02031814221469475,4.5097894970585555e+19,1.2852835556473695e+18,0.028499856955311927,2013039747.0822003,135168900.27239782,0.06714666238871753,0.0038402034896422308,0.019228274355933186,1.5589221473440694e-05,1.1116584983943708e-08,4.44966044385672e-09,7.913069843845383e-06,4
23384,3.0,9160,53.842577193656645,1,1,43.2,0,29.507936763124757,74.18097261722399,7.499954513313468e+19,1.5976092320884076e+18,0.021301585619651797,3.472926780200256e+19,1.1411787302352385e+18,0.032859279865653714,1840665824.3779829,127658969.51500845,0.06935477794191583,0.0038525960819497974,0.019232394611505072,1.1883142004286996e-05,2.801930002616442e-09,5.383715876192335e-09,7.250359968114672e-06,4
23385,3.0,9517,57.35899262727488,1,1,43.2,0,37.838425913103876,74.55244387571521,9.044196501558673e+19,1.9300920902645568e+18,0.021340669565637207,4.347832908601505e+19,1.3540716491220285e+18,0.0311435990661741,2137618923.7519505,146340627.60363346,0.06845964263208162,0.003829899119591678,0.019227013658349203,1.665526015200205e-05,1.6360575799216813e-09,1.959085257128399e-08,8.432088541001877e-06,4
24388,3.0,13613,23.12476719088122,1,1,43.2,0,11.757186699241203,73.23045369427648,9.272861694144668e+19,1.8320646482235955e+18,0.019757273521942526,4.64990822466336e+19,1.3510642377925906e+18,0.029055718360772673,2224906132.3131714,142630877.38721007,0.06410646962392108,0.0038238935265029594,0.019229016419759073,1.4867058118755853e-05,7.373615419447002e-09,7.384644457802588e-09,8.776777555324154e-06,4
24477,3.0,2830,96.97614866244736,1,1,43.2,0,37.15427035916105,76.05943796400412,6.9540529291975565e+19,1.5947507777499558e+18,0.022932681042075093,2.1307466498657018e+19,8.978406396502188e+17,0.04213737187885798,1825308247.725878,130885146.79772106,0.0717057773451628,0.0038544556476323637,0.019235498476602164,8.874373587458676e-06,3.908080762977584e-09,5.817735206862581e-09,7.193912198064136e-06,4
24688,3.0,10074,52.211032139320054,1,1,43.2,0,31.734159135632588,76.18631845833575,8.506620744421887e+19,1.7957321776216115e+18,0.02110981824126979,4.277870817501371e+19,1.3135204896215398e+18,0.03070500596342795,2028604768.970819,142481001.43742746,0.0702359590279939,0.0038390132900114234,0.01922659996995932,1.714644585657789e-05,8.735226994266447e-09,1.3931609380441948e-08,8.011648174902703e-06,4
24695,3.0,2781,96.79365828569277,1,1,43.2,0,38.63354903954815,76.75003574745621,8.255467623978897e+19,1.787025939654277e+18,0.021646574380155856,2.43819665852507e+19,1.0161540800043941e+18,0.041676461020953605,2062217438.8710587,141750560.72582614,0.06873696151237385,0.003836849602090614,0.019233535643442178,1.064913218101271e-05,1.7050589856340445e-09,8.01888444723882e-09,8.14501917841645e-06,4
24887,3.0,11133,38.172462371327704,1,1,43.2,0,23.515396973768414,72.30624304613944,8.4089682781176e+19,1.70980203686611e+18,0.020333077499120496,4.517926526256609e+19,1.3191817647110804e+18,0.029198831743820035,2086737236.8282318,137467806.50249577,0.0658769125677951,0.0038333782823188143,0.019225598338873984,1.818184329077556e-05,3.985949789808126e-09,7.185234264692987e-09,8.222525629976319e-06,4
24995,3.0,13460,30.93938952806634,1,1,43.2,0,21.416143276074813,77.77403166204309,9.985277082908236e+19,1.9824348386903255e+18,0.01985357864614145,5.20391822789399e+19,1.487598752769377e+18,0.02858612852130468,2398829974.939048,156259240.6461183,0.06513977325553835,0.003810683584706688,0.0192212889665792,2.172729373239297e-05,2.0922570942696484e-08,2.28071261347601e-08,9.454088018518106e-06,4
25184,3.0,2846,92.19443158277042,1,1,43.2,0,34.19895572745285,72.78963353659009,6.040520455144289e+19,1.3863418765360376e+18,0.022950702457358408,2.065685313746584e+19,8.630100011420631e+17,0.04177838683360733,1581842300.2819355,111874799.73714511,0.07072436975367608,0.003872926318903565,0.01923588172617083,8.628721031369547e-06,1.3932278161475204e-09,2.7225027546219446e-09,6.233381121948865e-06,4
